Date,Open,High,Low,Close,Adj Close,Volume,Price Return,Total Return,Source,Quality Flag,Source Notes
1976-01-22,,,,126.15,123.1300697823,,0.0100080064,0.0099969378,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1976-01-23,,,,129,125.9104632034,,0.0225921522,0.0225809457,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1976-01-26,,,,125.65,122.6366633376,,-0.0259689922,-0.0260010152,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1976-01-27,,,,126.25,123.2209237644,,0.0047751691,0.0047641579,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1976-01-28,,,,128.1,125.0251671469,,0.0146534653,0.0146423459,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1976-01-29,,,,128.6,125.5117899706,,0.0039032006,0.0038921989,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1976-01-30,,,,128.15,125.0712256457,,-0.0034992224,-0.003510143,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1976-02-02,,,,130.4,127.2629857857,,0.0175575497,0.0175240958,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1976-02-03,,,,131.7,128.5303033043,,0.0099693252,0.009958257,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1976-02-04,,,,129.75,126.6258473364,,-0.0148063781,-0.0148171748,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
